word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",,2,,gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes,,
about,ә'baut,s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",,5,1,zk gk,63,46,,,
abroad,ә'brɒ:d,s. in a foreign country\nr. to or in a foreign country,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",,3,1,zk gk toefl,2243,3363,,,
absence,'æbsәns,"n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有\n[医] 失神",,3,1,gk cet4 cet6 ky toefl,1585,2524,s:absences,,
absent,'æbsәnt,v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",,2,1,zk gk cet4 cet6 ky toefl,4300,5516,p:absented/i:absenting/d:absented/3:absents,,
absolute,'æbsәlu:t,n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative\na. perfect or complete or pure\ns. complete and without restriction or qualification; sometimes used informally as intensifiers\ns. not limited by law,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",,3,1,gk cet4 cet6 ky toefl gre,2420,3165,s:absolutes,,
absorb,әb'sɒ:b,"v. become imbued\nv. take up mentally\nv. take up, as of debts or payments\nv. take in, also metaphorically","vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",,2,1,gk cet4 cet6 ky toefl ielts gre,2879,3120,d:absorbed/p:absorbed/3:absorbs/i:absorbing,,
abstinence,'æbstinәns,n. the trait of abstaining (especially from alcohol)\nn. act or practice of refraining from indulging an appetite,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)",,1,,toefl,16463,10794,s:abstinences,,
abstract,'æbstrækt,v. consider a concept without thinking of a specific example; consider abstractly or theoretically\nv. consider apart from a particular case or instance\nv. give an abstract (of)\na. existing only in the mind; separated from embodiment,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",,2,,gk cet4 cet6 ky toefl ielts gre,3729,4007,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,,
abstraction,æb'strækʃәn,n. a concept or idea not associated with any specific instance\nn. the act of withdrawing or removing something\nn. the process of formulating general concepts by abstracting common properties of instances\nn. an abstract painting,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去",,1,,toefl,7880,8413,s:abstractions,,
AC,,n a radioactive element of the actinide series; found in uranium ores\nn an electric current that reverses direction sinusoidally,"公元前\n[计] 存取周期, 累加器, 声耦合器, 交流, 应用控制, 自动检查, 自动计算机",,1,,,4250,0,s:acs,,
acanthaceous,ә'kænθәsiәs,"a. Armed with prickles, as a plant.\na. Of, pertaining to, or resembling, the family of\n   plants of which the acanthus is the type.","具刺的, 棘皮的, 有棘的",,,,,0,0,,,
ACC,,"n a command that is the primary provider of air combat weapon systems to the United States Air Force; operates fighter, bomber, reconnaissance, battle-management, and rescue aircraft","[计] 累加, 累加器, 异步通信控制\n[医] 阳极通电收缩",,,,,28508,0,,,
accept,әk'sept,v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",,5,1,zk gk cet4 ky,488,766,d:accepted/p:accepted/i:accepting/3:accepts,,
acceptance,әk'septәns,n. the state of being acceptable and accepted\nn. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)\nn. banking: a time draft drawn on and accepted by a bank\nn. the act of taking something that is offered,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",,2,,cet4 cet6 ky,2899,3443,s:acceptances,,
access,'ækses,n. the right to obtain or make use of or take advantage of something (as services or membership)\nn. a way of entering or leaving\nn. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)\nn. (computer science) the operation of reading or writing stored information,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,,
accessible,әk'sesәbl,a. capable of being reached\ns. capable of being read with comprehension\ns. easily obtained\ns. easy to get along with or talk to; friendly,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",,2,,gk cet6 toefl ielts gre,4162,4377,,,
accessory,әk'sesәri,"n. clothing that is worn or carried, but not part of your main clothing\nn. a supplementary component that improves capability\nn. someone who helps another person commit a crime\ns. furnishing added support","n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",,2,,cet4 cet6 ky toefl ielts gre,7048,6429,s:accessories,,
accident,'æksidәnt,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",,3,1,zk gk cet4 ky toefl,1187,1707,s:accidents,,
accidental,.æksi'dentl,n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature\ns. happening by chance or unexpectedly or unintentionally,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",,2,1,cet4 cet6 ky toefl,6917,7485,s:accidentals,,
acclaim,ә'kleim,n. enthusiastic approval\nv. praise vociferously,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",,2,,ky toefl ielts gre,11847,12422,d:acclaimed/p:acclaimed/i:acclaiming/s:acclaims/3:acclaims,,
accommodate,ә'kɒmәdeit,v. provide with something desired or needed\nv. have room for; hold without crowding\nv. make (one thing) compatible with (another),"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",,2,,cet4 cet6 ky toefl ielts gre,3404,3717,d:accommodated/i:accommodating/3:accommodates/p:accommodated,,
accommodation,ә.kɒmә'deiʃәn,n. a settlement of differences\nn. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality\nn. living quarters provided for public convenience\nn. the act of providing something (lodging or seat or food) to meet a need,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",,2,1,gk cet4 cet6 ky ielts,2048,5369,s:accommodations,,
accompany,ә'kʌmpәni,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",,3,1,gk cet4 cet6 ky toefl ielts gre,1902,2438,d:accompanied/p:accompanied/i:accompanying/3:accompanies,,
accomplished,ә'kʌmpliʃt,s. highly skilled\ns. successfully completed or brought to an end\ns. settled securely and unconditionally,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",,2,,toefl gre,11383,8941,0:accomplish/1:dp/d:accomplished/p:accomplished,,
account,ә'kaunt,n. a formal contractual relationship established to provide for regular banking or brokerage or business services\nn. importance or value\nn. a statement of recent transactions and the resulting balance\nn. the quality of taking advantage,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",,5,1,gk cet4 ky toefl ielts,498,1071,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,,
accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",,2,,gk cet4 cet6 ky toefl ielts gre,4997,5083,d:accumulated/i:accumulating/3:accumulates/p:accumulated,,
accuracy,'ækjurәsi,n. the quality of being near to the true value\nn. (mathematics) the number of significant figures given in a number,"n. 精确, 正确\n[计] 准确度",,,,gk cet4 cet6 ky toefl ielts gre,3958,4076,s:accuracies,,
accurately,'ækjurәtli,r. with few mistakes\nr. strictly correctly,"adv. 正确地, 精确地",,,1,,4484,4898,,,
accusation,ækju:'zeiʃәn,n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt\nn. an assertion that someone is guilty of a fault or offence,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",,2,,toefl,5025,4870,s:accusations,,
accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses,,
ace,eis,n. one of four playing cards in a deck having a single pip on its face\nn. someone who is dazzlingly skilled in any field\nn. a serve that the receiver is unable to reach\nv. score an ace against,"n. 幺点, 好手, 少许, 发球得分\na. 一流的, 杰出的\n[计] 应答允许, 自适应计算机试验, 自动呼叫设备, 自动执行控制",,2,,,4892,13343,s:aces/i:acing/p:aced/3:aces/d:aced,,
acetaminophen,",æsi'tæminәfәn","n. an analgesic for mild pain but not for inflammation; also used as an antipyretic; (Datril, Tylenol, Panadol, Phenaphen, Tempra, and Anacin III are trademarks of brands of acetaminophen tablets)","n. 乙酰, 退热净, 氨基酚\n[化] 对乙酰氨基酚; 扑热息痛",,,,,0,24522,,,
achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到\nvi. 如愿以偿",,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves,,
acid,'æsid,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,s:acids,,
acidifiers,,"plural of acidifier\nn. A simple or compound principle, whose presence is\n   necessary to produce acidity, as oxygen, chlorine, bromine, iodine,\n   etc.",(acidifier 的复数) n.成酸剂,,,,,0,0,0:acidifier/1:s,,
acidulent,"ə'sɪdjʊ,lənt",a. Having an acid quality; sour; acidulous.,"n. 【化学】酸化剂 (＝acidulant)\na. 带酸味的, 微酸的；(言词等)尖刻的, 尖利刻薄的, 有点挖苦的, 带讽刺意味的, 讽刺人的(＝acidulous)",,,,,0,0,,,
acknowledge,әk'nɒlidʒ,"v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,,
acknowledgment,әk'nɔlidʒmәnt,n. a statement acknowledging something or someone,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可",,,,,19902,9911,s:acknowledgments,,
acknowledgments,,plural of acknowledgment\nn. a statement acknowledging something or someone,"(acknowledgment 的复数) n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可",,,,,0,0,0:acknowledgment/1:s,,
acquire,ә'kwaiә,v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts,"vt. 获得, 学到\n[电] 目标锁定",,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires,,
acquit,ә'kwit,v. pronounce not guilty of criminal charges,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免",,2,,toefl gre,9949,9999,d:acquitted/p:acquitted/i:acquitting/s:acquits/3:acquits,,
across,ә'krɒs,r. to the opposite side\nr. transversely,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",,5,1,zk gk,448,377,,,
act,ækt,n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",,5,1,zk gk cet4 ky,371,837,i:acting/s:acts/p:acted/d:acted/3:acts,,
action,'ækʃәn,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions,,
active,'æktiv,n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",,4,1,zk gk cet4 ky toefl,1316,1444,s:actives,,
actively,'æktivli,r. in an active manner,"adv. 活跃地, 积极地",,,1,toefl,4345,4307,,,
activist,'æktivist,s. advocating or engaged in activism,n. 激进主义分子,,,,,4845,2595,s:activists,,
activity,æk'tiviti,n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction,"n. 活动, 行动, 活跃, 活力\n[计] 活动",,4,1,zk gk cet4 ky ielts,412,537,s:activities,,
actress,'æktris,n. a female actor,n. 女演员,,3,,gk cet4 ky,4829,3236,s:actresses,,
actually,'æktʃuәli,r. in actual fact\nr. used to imply that one would expect the fact to be the opposite of that stated; surprisingly\nr. at the present moment\nr. as a sentence modifier to add slight emphasis,"adv. 事实上, 竟然, 如今, 现在",,5,1,cet4 cet6 toefl,354,396,,,
acute,ә'kju:t,a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",,2,,gk cet4 cet6 ky toefl ielts gre,3249,5255,s:acutes/t:acutest,,
ad,æd,n. a public promotion of some product or service\nr. in the Christian era; used before dates after the supposed year Christ was born,"n. 广告\n[计] 地址, 模拟-数字",,1,1,cet4,4324,1748,s:ads,,
ad valorem,",ædvә'lɔ:rem"," A term used to denote a duty or charge laid upon goods,\n   at a certain rate per cent upon their value, as stated in their\n   invoice, -- in opposition to a specific sum upon a given quantity or\n   number; as, an ad valorem duty of twenty per cent.","按价\n[法] 从价, 照价, 按值",,,,,0,0,,,
ad-,"æd,әd,id"," As a prefix ad- assumes the forms ac-, af-, ag-, al-, an-, ap-,\n   ar-, as-, at-, assimilating the d with the first letter of the word to\n   which ad- is prefixed. It remains unchanged before vowels, and before\n   d, h, j, m, v. Examples: adduce, adhere, adjacent, admit, advent,\n   accord, affect, aggregate, allude, annex, appear, etc. It becomes ac-\n   before qu, as in acquiesce.","见于拉丁词源的字, 表示“向...”之义",,,,,0,0,,,
adansonia,ædən'səuniə,"n. A genus of great trees related to the Bombax. There are\n   two species, A. digitata, the baobab or monkey-bread of Africa and\n   India, and A. Gregorii, the sour gourd or cream-of-tartar tree of\n   Australia. Both have a trunk of moderate height, but of enormous\n   diameter, and a wide-spreading head. The fruit is oblong, and filled\n   with pleasantly acid pulp. The wood is very soft, and the bark is used\n   by the natives for making ropes and cloth.",n. 【植物】猴面包树属,,,,,0,0,,,
add,æd,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition","vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",,5,1,zk gk cet4 ky,330,340,p:added/d:added/i:adding/3:adds,,
addition,ә'diʃәn,n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area,"n. 加法, 增加的人(或物)\n[计] 加法",,4,1,gk cet4 cet6 ky ielts gre,2841,2048,s:additions,,
additional,ә'diʃәnәl,s further or added,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",,,1,cet4 cet6 ky toefl ielts,1310,1319,,,
address,ә'dres,n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",,4,1,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,,
adeem,,"v. t. To revoke, as a legacy, grant, etc., or to satisfy it by\n   some other gift.","[法] 改赠, 废止, 撤销",,,,,0,0,d:adeemed,,
adeemed,,"past participle of adeem\nv. t. To revoke, as a legacy, grant, etc., or to satisfy it by\n   some other gift.","(adeem 的过去分词) [法] 改赠, 废止, 撤销",,,,,0,0,0:adeem/1:d,,
adequate,'ædikwәt,a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",,3,1,gk cet4 cet6 ky toefl ielts gre,2398,3297,,,
adhere,әd'hiә,v. be compatible or in accordance with\nv. follow through or carry out a plan without deviation\nv. be a devoted follower or supporter\nv. stick to firmly,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",,2,,cet4 cet6 ky toefl ielts gre,6380,6516,d:adhered/i:adhering/p:adhered/3:adheres,,
adjacent,ә'dʒeisәnt,"s. nearest in space or position; immediately adjoining without intervening space\ns. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""\ns. near or close to but not necessarily touching","a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",,1,,cet6 ky toefl ielts gre,5391,6649,,,
adjust,ә'dʒʌst,v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",,3,1,gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts,,
administrator,әd'ministreitә,n. someone who administers a business\nn. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor\nn. someone who manages a government agency or department,"n. 管理人, 行政官\n[经] 遗产管理人员",,2,,toefl ielts,4362,2484,s:administrators,,
admire,әd'maiә,v. feel admiration for\nv. look at with admiration,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",,3,1,gk cet4 ky toefl gre,3283,3277,p:admired/d:admired/i:admiring/3:admires,,
admission,әd'miʃәn,n. the act of admitting someone to enter\nn. an acknowledgment of the truth of something,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",,2,,gk cet4 cet6 ky toefl ielts gre,2768,3031,s:admissions,,
admit,әd'mit,"v. declare to be true or admit the existence or reality or truth of\nv. allow to enter; grant entry to\nv. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\nv. afford possibility","vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",,4,1,gk cet4 ky toefl,887,1089,p:admitted/d:admitted/3:admits/i:admitting,,
adopt,ә'dɒpt,"v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family","vt. 采用, 正式通过, 收养, 接受\n[医] 采取",,4,1,gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts,,
adopting,ə'dɒpt,"v choose and follow; as of theories, ideas, policies, strategies or plans\nv take up and practice as one's own\nv take on titles, offices, duties, responsibilities\nv take on a certain form, attribute, or aspect\nv take into one's family\nv put into dramatic form\nv take up the cause, ideology, practice, method, of someone and use it as one's own",vt. 采取；接受；收养；正式通过\nvi. 采取；过继,,,,,46632,37050,0:adopt/1:i/i:adopting,,
adopts,əˈdɔpts,"v choose and follow; as of theories, ideas, policies, strategies or plans\nv take up and practice as one's own\nv take on titles, offices, duties, responsibilities\nv take on a certain form, attribute, or aspect\nv take into one's family\nv put into dramatic form\nv take up the cause, ideology, practice, method, of someone and use it as one's own",v. 采用( adopt的第三人称单数 ); 收养; 正式接受; 吸收（外来词语）,,,,,0,0,0:adopt/1:3,,
advance,әd'vɑ:ns,"n. an amount paid before it is earned\nn. increase in price or value\nv. move forward, also in the metaphorical sense\nv. bring forward for consideration or acceptance","n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",,4,1,gk cet4 cet6 ky toefl,1880,2296,s:advances/d:advanced/p:advanced/i:advancing/3:advances,,
advances,,"n a movement forward\nn a change for the better; progress in development\nn a tentative suggestion designed to elicit the reactions of others\nn the act of moving forward (as toward a goal)\nn an amount paid before it is earned\nn increase in price or value\nv move forward, also in the metaphorical sense\nv bring forward for consideration or acceptance\nv increase or raise\nv contribute to the progress or growth of\nv cause to move forward\nv obtain advantages, such as points, etc.\nv develop in a positive way\nv develop further\nv give a promotion to or assign to a higher position\nv pay in advance\nv move forward\nv rise in rate or price","n. 作友好表示, 求爱, 献殷勤\n[机] 提早, 前进",,,,,0,0,0:advance/1:s3,,
advantage,әd'vɑ:ntidʒ,n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to,"n. 优点, 便利, 好处, 优势\nvt. 有助于",,4,1,zk gk cet4 ky,969,1301,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,,
adventure,әd'ventʃә,n. a wild and exciting undertaking (not necessarily lawful),"n. 冒险, 冒险经历\nv. 冒险",,2,1,gk cet4 ky toefl,3561,2862,s:adventures/i:adventuring/p:adventured/3:adventures/d:adventured,,
advertisement,.ædvә'taizmәnt,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",,2,1,zk gk cet4 ielts,3277,5957,s:advertisements,,
advertising,'ædvәtaiziŋ,n. the business of drawing public attention to goods and services,"n. 广告业, 广告\na. 广告的\n[计] 发广告",,,1,ielts,2180,2640,i:advertising/0:advertising/1:i,,
advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",,4,1,zk gk cet4 cet6 ky toefl ielts,962,1641,,,
advise,әd'vaiz,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",,3,1,zk gk cet4 cet6 ky toefl,1728,2552,d:advised/p:advised/i:advising/3:advises,,
